Station,Date and Time,Air Temp,RH,Dewpoint
fcl01,2023-01-05T18:00,29.92,0.641,19.26
fcl01,2023-01-05T19:00,26.67,0.721,18.88
fcl01,2023-01-05T20:00,24.04,0.774,18.01
fcl01,2023-01-05T21:00,21.16,0.836,16.98
fcl01,2023-01-05T22:00,19.78,0.87,16.54
fcl01,2023-01-05T23:00,19.56,0.881,16.61
fcl01,2023-01-06T00:00,19.19,0.855,15.56
fcl01,2023-01-06T01:00,20.25,0.853,16.54
fcl01,2023-01-06T02:00,20.96,0.81,16.05
fcl01,2023-01-06T03:00,22.57,0.789,17.01
fcl01,2023-01-06T04:00,23.02,0.774,17.01
fcl01,2023-01-06T05:00,25.45,0.737,18.22
fcl01,2023-01-06T06:00,26.7,0.697,18.11
fcl01,2023-01-06T07:00,26.69,0.73,19.21
fcl01,2023-01-06T08:00,27.38,0.735,20.05
fcl01,2023-01-06T09:00,29.19,0.735,21.78
